Ensembl	Gene	DNARegion
ENSG00000215520	RPS4XP4	1:20852482-20853244
ENSG00000215527	AP005482.1	18:12658042-12663470
ENSG00000215529	EFCAB8	20:31446729-31549006
ENSG00000215533	LINC00189	21:30565801-30660526
ENSG00000215548	RP11-764K9.4	9:68427861-68455375
ENSG00000215553	KRT18P3	20:22713440-22714727
ENSG00000215559	ANKRD20A11P	21:15281895-15352758
ENSG00000215565	AP003041.1	11:129952103-129952367
ENSG00000215567	RP11-79C23.1	15:20083769-20093074
ENSG00000215568	GAB4	22:17442826-17489112
ENSG00000215571	GRK6P1	13:21893231-21895005
ENSG00000215572	ESRRAP1	13:20134153-20135409
ENSG00000215580	BCORP1	Y:21617317-21665039
ENSG00000215583	ASS1P6	Y:14043242-14044475
ENSG00000215586	RP5-836E8.1	20:7812445-7812969
ENSG00000215595	C20orf202	20:1184098-1188918
ENSG00000215630	GUSBP9	5:70435716-70585611
ENSG00000215644	GCGR	17:79762008-79771889
ENSG00000215692	AC114730.8	2:242674130-242674913
ENSG00000215704	CELA2B	1:15792404-15817895
ENSG00000215712	TMEM242	6:157710418-157744633
ENSG00000215717	TMEM167B	1:109632425-109639556
ENSG00000215720	RP1-21O18.3	1:15518324-15519341
ENSG00000215734	MRPL20P1	21:38366943-38367375
ENSG00000215749	GOLGA6L18	15:82930438-82939159
ENSG00000215760	TAF9BP2	10:116569134-116570929
ENSG00000215769	hsa-mir-6080	17:62745781-62778117
ENSG00000215771	LRRC37A14P	22:41585731-41586192
ENSG00000215784	FAM72D	1:143896452-143913143
ENSG00000215785	CFL1P6	1:11051035-11051854
ENSG00000215788	TNFRSF25	1:6521211-6526255
ENSG00000215790	SLC35E2	1:1656277-1677431
ENSG00000215795	RP11-488L18.3	1:247347115-247348784
ENSG00000215796	RP11-551G24.2	1:247206093-247207323
ENSG00000215800	RSL24D1P4	1:242935922-242936405
ENSG00000215802	RFKP1	1:240986306-240986733
ENSG00000215805	RP11-438O11.1	1:240136087-240137545
ENSG00000215808	LINC01139	1:238643684-238649323
ENSG00000215811	BTNL10	1:228696356-228700006
ENSG00000215812	ZNF847P	1:227884593-227894412
ENSG00000215817	ZC3H11B	1:219782859-219786462
ENSG00000215833	QRSL1P1	1:168418910-168420449
ENSG00000215835	RP11-9L18.2	1:166244866-166246834
ENSG00000215838	RP11-466F5.6	1:165667987-165679205
ENSG00000215840	RP11-122G18.7	1:161375858-161376872
ENSG00000215845	TSTD1	1:161007421-161008780
ENSG00000215860	PDZK1P1	1:145924388-145942619
ENSG00000215861	WI2-1896O14.1	1:144676874-144679969
ENSG00000215863	LINC01138	1:147835127-147931933
ENSG00000215864	NBPF7	1:120377388-120387779
ENSG00000215866	RP11-426L16.8	1:113362792-113393265
ENSG00000215867	KRT18P57	1:112190913-112192166
ENSG00000215869	RP11-364B6.1	1:104615645-104619709
ENSG00000215871	RP5-837M10.1	1:100797360-100798173
ENSG00000215873	FEN1P1	1:91793926-91795070
ENSG00000215875	ST13P20	1:82187378-82188753
ENSG00000215878	MARCKSL1P2	6:138723722-138724697
ENSG00000215883	CYB5RL	1:54638009-54665709
ENSG00000215893	RP4-635E8.1	1:41564310-41564808
ENSG00000215895	RP11-334L9.1	1:39174603-39176562
ENSG00000215899	RP11-439L8.2	1:31960436-31961777
ENSG00000215900	SEPW1P	1:31567834-31568405
ENSG00000215902	AL353354.1	1:28527013-28527152
ENSG00000215908	CROCCP2	1:16944751-16971178
ENSG00000215909	RP4-597A16.3	1:13881496-13882189
ENSG00000215910	C1orf167	1:11821844-11849642
ENSG00000215912	TTC34	1:2567415-2718286
ENSG00000215914	MMP23A	1:1631369-1633249
ENSG00000215915	ATAD3C	1:1385069-1405538
ENSG00000215930	MIR942	1:117637265-117637350
ENSG00000215934	AC013731.1	2:158711782-158711858
ENSG00000215946	MIR941-1	20:62551365-62551481
ENSG00000215954	AP002884.1	11:112118553-112118647
ENSG00000215972	AL360176.1	10:127531513-127531598
ENSG00000215973	MIR933	2:176032361-176032437
ENSG00000215979	AL021917.1	6:26365704-26365780
ENSG00000215996	AC017084.1	2:70682662-70682756
ENSG00000216009	MIR874	5:136983261-136983338
ENSG00000216031	MIR298	20:57393281-57393368
ENSG00000216035	MIR938	10:29891193-29891275
ENSG00000216045	AL356693.1	1:5875931-5876019
ENSG00000216067	AC104457.1	1:100844238-100844331
ENSG00000216070	AL158155.1	9:37296020-37296101
ENSG00000216089	AC105316.1	4:160216866-160216935
ENSG00000216090	MIR937	8:144895127-144895212
ENSG00000216097	AL357060.1	6:138038085-138038179
ENSG00000216101	MIR877	6:30552109-30552194
ENSG00000216109	AL713999.1	1:155206540-155206628
ENSG00000216127	AC011407.1	5:171866667-171866758
ENSG00000216141	MIR941-2	20:62550834-62550950
ENSG00000216162	AL121988.1	1:35244162-35244245
ENSG00000216168	AC100832.1	17:57066229-57066315
ENSG00000216182	AL137024.1	9:119155868-119155955
ENSG00000216195	MIR941-3	20:62551085-62551201
ENSG00000216197	AP001623.1	21:43720384-43720455
ENSG00000216204	AC018607.1	8:56821520-56821611
ENSG00000216205	AC036178.1	18:18642344-18642434
ENSG00000216206	AF228730.1	8:6973421-6973570
ENSG00000216285	RP11-490H24.5	12:104424557-104425321
ENSG00000216306	KRT19P2	12:95227923-95228934
ENSG00000216307	RP3-400B16.2	6:4189350-4190040
ENSG00000216316	RP3-354N19.3	6:119590298-119590879
ENSG00000216331	HIST1H1PS1	6:26195794-26195999
ENSG00000216359	RP11-360O19.1	6:10514515-10515206
ENSG00000216360	RP1-182O16.2	6:5817654-5818599
ENSG00000216364	MRPL42P2	6:16171837-16172262
ENSG00000216368	RP3-486D24.1	6:10118685-10119486
ENSG00000216412	RPL12P2	6:37059088-37059582
ENSG00000216425	AC004066.2	4:106447753-106448554
ENSG00000216439	DUTP5	6:86136375-86136843
ENSG00000216471	RPSAP43	6:114405332-114405956
ENSG00000216475	RP1-91J24.1	6:144578170-144578760
ENSG00000216480	RP3-393E18.1	6:159947094-159947559
ENSG00000216490	IFI30	19:18283972-18288927
ENSG00000216518	EEF1GP6	6:97198700-97199604
ENSG00000216548	RP11-471B18.1	6:141243594-141244047
ENSG00000216560	LINC00955	4:3578596-3592438
ENSG00000216588	IGSF23	19:45116940-45140081
ENSG00000216613	RP3-406A7.5	6:136740985-136741563
ENSG00000216624	GAPDHP72	6:166477779-166478788
ENSG00000216636	RPL7P25	6:34584315-34585035
ENSG00000216639	RP3-355L5.3	6:105746024-105746770
ENSG00000216642	RP1-95L4.3	6:143648412-143648792
ENSG00000216657	RP3-406P24.1	6:3978296-3979333
ENSG00000216676	RP1-15D7.1	6:27620381-27620604
ENSG00000216687	RP11-278J20.2	6:58397998-58399412
ENSG00000216721	AC093850.1	2:216669454-216669704
ENSG00000216723	NUDT19P3	6:114340785-114341647
ENSG00000216740	ANXA2P3	10:66585329-66586336
ENSG00000216753	HMGA1P7	6:134436373-134436874
ENSG00000216775	RP1-152L7.5	6:52529946-52533953
ENSG00000216802	RP11-390P2.2	6:138971363-138972110
ENSG00000216809	RP11-57K17.1	6:118773632-118776155
ENSG00000216813	RP11-812I20.2	6:47530358-47530754
ENSG00000216817	R3HDM2P2	6:104465508-104467623
ENSG00000216819	TUBB2BP1	6:3177278-3179998
ENSG00000216835	RBMXP1	6:48181340-48182530
ENSG00000216854	RPL17P26	6:56735989-56736541
ENSG00000216863	LY86-AS1	6:6346698-6623004
ENSG00000216866	RPS2P55	X:40794198-40795117
ENSG00000216867	AC114776.1	2:111391524-111391910
ENSG00000216895	AC009403.2	7:155403925-155437899
ENSG00000216901	AL022393.7	6:28143966-28144452
ENSG00000216904	SOCS5P5	6:113543368-113545274
ENSG00000216906	RP11-350J20.9	6:150225379-150227554
ENSG00000216915	RP1-97D16.1	6:27704779-27706273
ENSG00000216917	RP5-988G15.1	6:132101861-132102452
ENSG00000216921	AC131097.4	2:242836136-242844702
ENSG00000216937	CCDC7	10:32735068-32863492
ENSG00000216938	RPL7P58	X:26704143-26706072
ENSG00000216977	RPL21P65	6:107090338-107090803
ENSG00000216990	HSPD1P10	6:88008490-88010165
ENSG00000217004	RP3-329A5.1	6:35246954-35247596
ENSG00000217026	RPL10P1	21:28792699-28793342
ENSG00000217027	TPT1P4	6:144521584-144522102
ENSG00000217030	RP11-428J1.2	6:4979306-4979728
ENSG00000217041	RP11-346C16.1	6:111021765-111022103
ENSG00000217060	RP11-30P6.1	6:85995794-86000567
ENSG00000217075	AC007401.2	2:36758948-36779411
ENSG00000217078	RP1-13D10.3	6:16163608-16163993
ENSG00000217083	RP1-245M18.2	6:24948108-24948572
ENSG00000217094	PPIAP31	10:32477251-32477745
ENSG00000217128	FNIP1	5:130977407-131132710
ENSG00000217130	RP3-375P9.2	6:34711953-34712450
ENSG00000217139	RP11-129H15.4	6:122004071-122005418
ENSG00000217159	LARP1P1	6:26164300-26164591
ENSG00000217165	ANKRD18EP	6:39078097-39080728
ENSG00000217178	RP11-9G10.1	6:74991982-74992376
ENSG00000217179	MTCYBP2	Y:21033988-21034158
ENSG00000217181	RP11-360O19.5	6:10574982-10575460
ENSG00000217195	RP11-277I20.2	6:145027869-145028183
ENSG00000217227	RP1-319M7.2	6:38555099-38556305
ENSG00000217231	RP3-340H11.2	6:144357755-144358841
ENSG00000217236	SP9	2:175199674-175203220
ENSG00000217239	RP1-182O16.1	6:5788579-5788932
ENSG00000217241	CBX3P9	6:116774177-116774728
ENSG00000217258	AC007249.3	2:10592445-10595678
ENSG00000217275	RP1-34B20.4	6:26202384-26202882
ENSG00000217289	AC018865.5	2:130750462-130751613
ENSG00000217314	UQCRFS1P3	6:19638271-19639039
ENSG00000217315	OR2W2P	6:28001725-28002633
ENSG00000217325	PRELID1P1	6:126964634-126965536
ENSG00000217330	SSXP10	6:118910233-118910797
ENSG00000217331	RP11-304C16.3	6:97120005-97120845
ENSG00000217334	RP11-33E24.3	6:86441089-86441729
ENSG00000217379	RP11-254A17.1	6:19143926-19144391
ENSG00000217385	PSMC1P11	6:4702697-4704013
ENSG00000217404	RPS4XP9	6:127004181-127004992
ENSG00000217414	RP11-528A10.2	6:18363648-18365654
ENSG00000217416	ISCA1P1	5:62072704-62073090
ENSG00000217442	SYCE3	22:50989541-51001334
ENSG00000217447	RP3-366N23.4	6:167760960-167761541
ENSG00000217455	AC091801.1	7:3179868-3214287
ENSG00000217482	HMGB1P17	6:135957224-135957851
ENSG00000217483	RP11-135M8__A.1	6:73232343-73232940
ENSG00000217488	RP11-474L11.5	6:76320674-76321661
ENSG00000217495	RP1-95L4.2	6:143619907-143620691
ENSG00000217512	RP11-477E3.2	6:79777409-79777855
ENSG00000217527	RPS16P5	6:53201741-53202144
ENSG00000217539	IQCB2P	6:27978501-27980133
ENSG00000217555	CKLF	16:66586466-66600154
ENSG00000217557	RP11-157L10.1	6:163378290-163378580
ENSG00000217566	TDGF1P4	6:3941516-3942035
ENSG00000217612	RP1-28C20.1	6:145810766-145813228
ENSG00000217624	RP11-204C16.4	X:41535013-41535747
ENSG00000217643	PTGES3P2	2:26045338-26045819
ENSG00000217644	RP4-803A2.1	1:33445543-33446073
ENSG00000217646	HIST1H2BPS2	6:27831840-27832179
ENSG00000217648	RP1-95L4.4	6:143663383-143664520
ENSG00000217653	RP11-63K6.1	6:90524428-90525182
ENSG00000217680	RP11-415D17.1	6:76174839-76175286
ENSG00000217684	RPS3AP24	6:141082666-141083399
ENSG00000217702	MGC10955	2:74361599-74362521
ENSG00000217716	RPS10P3	9:90631215-90631708
ENSG00000217733	CCT7P1	6:150201098-150202708
ENSG00000217746	RP1-303A1.1	6:7938663-7939555
ENSG00000217767	RP11-160A9.2	6:71444206-71444665
ENSG00000217769	RP11-76H14.2	6:87606836-87607139
ENSG00000217776	RP11-156F23.2	6:87779874-87780179
ENSG00000217783	LDHAL6FP	6:157720077-157721158
ENSG00000217786	RP3-508D13.1	6:80036285-80036924
ENSG00000217791	ASS1P9	5:53154996-53156231
ENSG00000217801	RP11-465B22.3	1:995114-1004735
ENSG00000217824	SNRPEP6	6:148888514-148888790
ENSG00000217825	AC099552.4	7:154988273-154990165
ENSG00000217835	RP6-159A1.2	X:65176131-65177038
ENSG00000217862	HIST1H4PS1	6:27774853-27775117
ENSG00000217889	KRT18P48	X:152869952-152870803
ENSG00000217896	ZNF839P1	Y:21147061-21148284
ENSG00000217897	HSPE1P8	1:39769966-39770570
ENSG00000217930	PAM16	16:4381550-4405608
ENSG00000217950	AC073869.20	2:132200167-132202467
ENSG00000218014	KRT19P1	6:72294424-72295609
ENSG00000218016	ZNF192P2	6:28155828-28157210
ENSG00000218018	RP4-800J21.3	20:55959216-55968118
ENSG00000218027	RP11-157J24.1	6:1513933-1515524
ENSG00000218029	RP1-232L24.2	6:80064160-80064430
ENSG00000218052	ADAMTS7P4	15:85798600-85873565
ENSG00000218069	RSL24D1P1	6:27748398-27748890
ENSG00000218073	RP1-13D10.2	6:16161157-16161642
ENSG00000218107	RP1-261G23.4	6:43673686-43674488
ENSG00000218173	RP11-427E4.1	6:105135116-105135546
ENSG00000218175	AC016739.2	2:177065636-177065980
ENSG00000218180	SLC25A5P7	6:121974941-121975836
ENSG00000218187	RP11-325O24.1	6:127976005-127976423
ENSG00000218189	POM121L14P	6:58263736-58265293
ENSG00000218208	RP11-367G18.2	6:113902703-113903149
ENSG00000218226	TATDN2P2	6:159030738-159042668
ENSG00000218227	RP11-889L3.1	5:177482605-177483195
ENSG00000218233	NEPNP	6:117954869-117966250
ENSG00000218261	RP11-96J19.1	6:53243301-53243659
ENSG00000218265	RPS4XP7	6:13521498-13522277
ENSG00000218281	HIST1H2APS3	6:26233350-26233483
ENSG00000218283	MORF4L1P1	1:220426912-220427878
ENSG00000218300	RP11-63K6.4	6:90586263-90586597
ENSG00000218305	AC006024.4	7:48959361-48965612
ENSG00000218313	RP11-393I2.2	6:87883086-87884021
ENSG00000218336	TENM3	4:183065140-183724177
ENSG00000218337	RP4-724P12.1	6:49045349-49045688
ENSG00000218346	VN1R14P	6:26630782-26632007
ENSG00000218347	HNRNPA1P1	6:27490855-27492118
ENSG00000218350	LYPLA1P3	6:71874779-71875473
ENSG00000218358	RAET1K	6:150319155-150326293
ENSG00000218363	SLC25A20P1	6:52111258-52112160
ENSG00000218416	AC110619.2	2:241388732-241396131
ENSG00000218418	RP11-296E7.1	6:80774003-80779916
ENSG00000218422	AC016773.1	4:1741078-1743830
ENSG00000218426	RP11-475C16.1	6:153603422-153603868
ENSG00000218428	NIP7P3	6:116458221-116458735
ENSG00000218454	HNRNPA1P19	17:20674371-20674740
ENSG00000218459	RPS27P15	6:74328069-74328320
ENSG00000218472	RP1-140K8.2	6:3914156-3914526
ENSG00000218499	RP3-422G23.3	6:138714510-138714681
ENSG00000218502	H2AFZP3	13:99867626-99868012
ENSG00000218510	LINC00339	1:22351681-22357716
ENSG00000218512	SPTLC1P2	6:23856926-23857046
ENSG00000218520	RP11-184C23.4	6:63938992-63940015
ENSG00000218521	RP11-420A21.1	6:37970608-37971089
ENSG00000218537	AP000350.4	22:24236613-24241117
ENSG00000218565	RP11-12A2.1	6:139659155-139660717
ENSG00000218574	HNRNPA1P37	6:5609460-5610428
ENSG00000218582	GAPDHP63	6:80662722-80663728
ENSG00000218586	RP4-791C19.1	7:55001392-55005877
ENSG00000218596	RP11-2J18.1	6:157297428-157298206
ENSG00000218631	RP3-395C13.1	6:157793588-157794203
ENSG00000218632	RPL7P28	6:109648378-109649117
ENSG00000218643	RPL5P20	6:19348412-19349307
ENSG00000218672	AC008060.7	7:155174771-155189051
ENSG00000218676	BRD7P4	6:111751463-111752984
ENSG00000218682	AC010150.1	2:26079330-26079835
ENSG00000218689	RPL5P21	6:130077443-130078257
ENSG00000218690	HIST1H2APS4	6:26272421-26272768
ENSG00000218713	RP1-34L19.1	6:53071396-53073495
ENSG00000218730	RP3-453I5.2	6:90826419-90826824
ENSG00000218739	CEBPZ-AS1	2:37423631-37443336
ENSG00000218748	DBIP1	6:80146625-80146884
ENSG00000218749	RP3-340B19.5	6:35575405-35575711
ENSG00000218757	RP3-472M2.2	6:155166208-155166754
ENSG00000218766	RP11-207F8.1	6:86578671-86579182
ENSG00000218772	FAM8A6P	6:134924702-134925836
ENSG00000218792	HSPD1P16	6:153026870-153027263
ENSG00000218793	RP3-382I10.3	6:88150883-88151864
ENSG00000218803	GSTM2P1	6:111368071-111368724
ENSG00000218823	PAPOLB	7:4897364-4901625
ENSG00000218857	RP1-209B5.2	6:131505465-131506626
ENSG00000218868	CNN3P1	6:6534930-6535864
ENSG00000218870	SLC25A6P6	6:71373205-71373982
ENSG00000218872	RP11-249L21.2	6:109177603-109177940
ENSG00000218890	NUFIP1P	6:66803324-66804802
ENSG00000218891	ZNF579	19:56088899-56092211
ENSG00000218896	TUBB8P2	6:143757353-143757847
ENSG00000218902	PTMAP3	20:17992599-17992928
ENSG00000218965	NACAP7	6:90131818-90132767
ENSG00000218976	RP11-528A10.1	6:18366967-18368875
ENSG00000218980	FTH1P15	6:56869318-56869597
ENSG00000218991	CCNG1P1	6:133019922-133020806
ENSG00000218996	RP1-99E18.2	6:151256104-151256702
ENSG00000219023	RP3-340B19.2	6:35523650-35524041
ENSG00000219027	RPS3AP2	16:1527831-1528584
ENSG00000219039	AC005102.1	7:75464981-75465459
ENSG00000219073	CELA3B	1:22303514-22325135
ENSG00000219074	SOD1P1	6:53061518-53061957
ENSG00000219085	NPM1P37	6:70415179-70416052
ENSG00000219088	RP3-359N14.1	6:106114201-106115873
ENSG00000219095	RP11-323I14__A.1	6:56141327-56141594
ENSG00000219102	HNRNPA3P12	1:54440642-54441704
ENSG00000219133	RP11-203F10.6	1:204315904-204316386
ENSG00000219135	RP11-129H15.3	6:122001118-122001605
ENSG00000219139	RP11-304C16.2	6:97101150-97102018
ENSG00000219146	RPS4XP8	6:154897443-154898213
ENSG00000219149	RP11-214N16.2	9:79164198-79164687
ENSG00000219150	RP11-569A2.2	6:111027565-111028085
ENSG00000219159	AC011298.2	2:241625751-241629831
ENSG00000219163	HMGB1P20	6:53100419-53101095
ENSG00000219188	CACYBPP3	6:158936637-158937261
ENSG00000219200	RNASEK	17:6915736-6917851
ENSG00000219201	RP11-181C21.4	1:78276507-78277621
ENSG00000219222	RP11-480N24.3	6:43277969-43278095
ENSG00000219249	AMZ2P2	6:159146779-159147835
ENSG00000219257	NPM1P38	6:100498248-100499112
ENSG00000219274	RPS20P2	16:1379079-1379778
ENSG00000219294	PIP5K1P1	6:7986730-7988425
ENSG00000219329	RP11-397G5.2	6:111244769-111245310
ENSG00000219355	RPL31P52	12:120888240-120888606
ENSG00000219361	RP11-250B2.2	6:81179788-81180145
ENSG00000219368	ZNF299P	21:24462350-24464153
ENSG00000219374	EEF1A1P42	6:49325859-49328093
ENSG00000219375	RP11-69L16.3	6:7331519-7331909
ENSG00000219384	RP11-491H9.3	6:45126607-45127248
ENSG00000219387	ATF1P1	6:93596969-93598299
ENSG00000219391	AC019129.1	2:44293033-44293293
ENSG00000219392	RP1-265C24.5	6:28083406-28084329
ENSG00000219395	HSPA8P15	6:151732394-151735080
ENSG00000219404	RP11-524C21.1	6:22213535-22214466
ENSG00000219409	RP11-106E7.1	6:144719095-144719888
ENSG00000219410	RP4-761J14.8	12:6772426-6781235
ENSG00000219430	MBL3P	10:81342054-81344633
ENSG00000219433	RP11-350J20.4	6:150115899-150116882
ENSG00000219435	TEX40	11:64067863-64072242
ENSG00000219438	FAM19A5	22:48885272-49246724
ENSG00000219445	RP11-3B12.3	7:124869633-124904345
ENSG00000219448	RP11-193H22.2	6:157998119-158003309
ENSG00000219451	RPL23P8	7:20866945-20867372
ENSG00000219470	RP3-337H4.6	6:43506559-43507440
ENSG00000219481	NBPF1	1:16888814-16940057
ENSG00000219487	RP11-365H23.1	6:149433145-149433808
ENSG00000219491	TPT1P8	8:36746000-36746825
ENSG00000219507	FTH1P8	X:147133753-147134266
ENSG00000219529	AP000580.1	11:77524365-77524722
ENSG00000219532	RP3-323K23.3	6:132140943-132141231
ENSG00000219545	RPA3-AS1	7:7680342-8043689
ENSG00000219547	RPL17P25	6:81083732-81084286
ENSG00000219553	RP1-281H8.3	6:149812703-149813425
ENSG00000219559	RP11-346C16.4	6:110883378-110883818
ENSG00000219565	ZNF259P1	6:109103329-109108256
ENSG00000219582	HNRNPA1P58	6:24002052-24002658
ENSG00000219607	PPP1R3G	6:5085720-5087455
ENSG00000219608	HIGD1AP16	20:34466398-34466655
ENSG00000219619	RP11-126M14.1	6:115679662-115679916
ENSG00000219626	FAM228B	2:24299396-24392509
ENSG00000219665	CTD-2006C1.2	19:12098432-12157090
ENSG00000219682	RP3-425P12.4	6:25140212-25141649
ENSG00000219699	RP11-325O24.2	6:127980835-127981724
ENSG00000219700	PTCHD3P3	6:109609774-109611706
ENSG00000219703	RP1-92C8.2	6:117752754-117753605
ENSG00000219712	RP11-532F6.2	6:669081-670307
ENSG00000219738	XXbac-BPG34I8.3	6:27528601-27529523
ENSG00000219747	RP1-292B18.1	6:151420665-151421069
ENSG00000219755	RP1-199J3.5	6:100023588-100024332
ENSG00000219758	RP1-249H1.3	6:114160463-114160808
ENSG00000219773	RP11-506B6.3	6:112677043-112677916
ENSG00000219776	RPL21P67	6:131790199-131790676
ENSG00000219790	OSTCP6	6:56840404-56840860
ENSG00000219797	PPIAP9	6:31487257-31488068
ENSG00000219806	ATP5F1P6	6:139935575-139936341
ENSG00000219867	RP11-40G16.1	6:92525561-92526146
ENSG00000219881	GAPDHP42	6:70455763-70456743
ENSG00000219891	ZSCAN12P1	6:28058932-28061442
ENSG00000219902	RPL35P3	6:105750328-105750698
ENSG00000219928	RP11-40C6.2	9:90140217-90140390
ENSG00000219932	RPL12P8	10:69634090-69634672
ENSG00000219951	RP11-378G13.2	6:84102135-84103128
ENSG00000219986	BTF3P7	6:6795148-6795635
ENSG00000220008	LINGO3	19:2289774-2308156
ENSG00000220032	RP11-17M16.1	18:74207477-74210045
ENSG00000220069	RPL7P27	6:86796133-86796852
ENSG00000220091	LAP3P1	6:83634548-83634841
ENSG00000220105	RP11-307I14.2	9:4781475-4782078
ENSG00000220113	MTCYBP4	6:133471707-133471955
ENSG00000220130	RP1-72A23.3	6:89711267-89711533
ENSG00000220154	RP11-46B11.2	6:79987822-79988144
ENSG00000220157	HNRNPA1P12	5:79654899-79655859
ENSG00000220161	RP1-37N7.3	17:18314473-18317694
ENSG00000220181	RP11-486M3.2	6:154870651-154871376
ENSG00000220201	ZGLP1	19:10415479-10420556
ENSG00000220204	RP1-53C18.3	11:34426210-34426496
ENSG00000220205	VAMP2	17:8062467-8066864
ENSG00000220237	RPS24P12	6:107550963-107551356
ENSG00000220240	RP11-76H14.5	6:87607265-87607401
ENSG00000220248	ZNF402P	22:17338509-17341608
ENSG00000220256	AC093802.1	2:240684554-240724577
ENSG00000220267	ACTBP8	6:88985601-88986708
ENSG00000220305	HNRNPH1P1	6:160133833-160135017
ENSG00000220323	HIST2H2BD	1:149814608-149815100
ENSG00000220343	RP11-440K22.1	3:166783553-166784113
ENSG00000220347	RP11-230C9.1	6:156983184-156983571
ENSG00000220349	RP3-431A14.4	6:36704827-36705763
ENSG00000220370	RP3-399J4.2	6:95054455-95054680
ENSG00000220377	RP1-152L7.3	6:52552728-52568623
ENSG00000220378	KRT8P42	6:134618135-134619833
ENSG00000220392	FCF1P5	6:111674905-111675386
ENSG00000220412	RP11-95M15.2	6:138026560-138028338
ENSG00000220418	TUBB3P1	6:90011502-90012833
ENSG00000220446	RP3-520B18.1	6:5291263-5291621
ENSG00000220472	RP11-69L16.5	6:7339072-7339801
ENSG00000220506	RP3-415N12.1	6:111816194-111816916
ENSG00000220515	PGAM1P10	6:73764820-73765580
ENSG00000220517	ASS1P1	6:25023475-25024711
ENSG00000220522	RP1-177A13.1	6:127737680-127738097
ENSG00000220541	RP5-1170D6.1	X:112765753-112766265
ENSG00000220548	VIMP1	6:126923502-126924795
ENSG00000220557	HMGB1P13	6:133189357-133189998
ENSG00000220563	PKMP3	6:86369610-86370324
ENSG00000220581	VN1R12P	6:27001214-27002089
ENSG00000220583	RPL35P2	6:34231088-34231450
ENSG00000220585	DDX18P6	10:92812808-92814804
ENSG00000220586	TUBBP9	6:39960554-39967972
ENSG00000220600	RP3-509I19.6	6:139200036-139200544
ENSG00000220614	RP11-480N24.4	6:43295872-43296214
ENSG00000220635	KRASP1	6:54635381-54635932
ENSG00000220643	RP3-391O22.1	6:34654379-34654883
ENSG00000220660	RP3-406A7.3	6:136685267-136686217
ENSG00000220666	RCC2P7	6:56296748-56298011
ENSG00000220685	RP11-530A18.1	6:5066029-5067216
ENSG00000220693	AC011498.1	19:4477048-4479576
ENSG00000220694	RP3-403A15.1	6:127756781-127757334
ENSG00000220695	RP1-121G13.3	6:100978152-100978928
ENSG00000220721	OR1F12	6:28041094-28042011
ENSG00000220734	RP3-510O8.3	6:35733685-35734704
ENSG00000220739	RP11-277I20.3	6:145029242-145029633
ENSG00000220744	RPL5P18	6:127683658-127684548
ENSG00000220745	RP1-101K10.4	6:153280494-153280740
ENSG00000220748	RP1-59B16.1	6:23972107-23973169
ENSG00000220749	RPL21P28	1:212224829-212225371
ENSG00000220758	VN1R10P	6:27292578-27293742
ENSG00000220771	RP3-322L4.2	6:21602359-21602614
ENSG00000220773	RP3-334F4.1	6:54489403-54490286
ENSG00000220785	MTMR9LP	1:32697259-32707221
ENSG00000220793	RPL21P119	16:9250219-9250761
ENSG00000220804	AC093642.5	2:243030784-243102304
ENSG00000220831	NDUFA5P9	6:86923955-86924297
ENSG00000220842	RP11-572P18.1	10:122114177-122114718
ENSG00000220848	RPS18P9	6:149915220-149915679
ENSG00000220871	DNAJC19P6	6:90507317-90507596
ENSG00000220875	HIST1H3PS1	6:26322104-26322520
ENSG00000220884	MESTP1	6:129250140-129251133
ENSG00000220891	LL22NC03-63E9.3	22:22901750-22909007
ENSG00000220908	RP11-127B16.1	6:93432721-93433547
ENSG00000220920	RP3-525L6.2	6:17953803-17954161
ENSG00000220924	OSTCP4	4:113606211-113606659
ENSG00000220925	IGBP1-AS2	X:69368432-69369504
ENSG00000220937	HNRNPA1P41	9:4944670-4945902
ENSG00000220949	CTC-499B15.1	19:11867348-11870748
ENSG00000220960	RP1-72A23.1	6:89769347-89769828
ENSG00000220981	AL391384.1	13:73425226-73425307
ENSG00000220986	SNORA50	5:68456633-68456766
ENSG00000220987	AC084368.1	7:95936072-95936172
ENSG00000221015	RNU6ATAC29P	3:51645454-51645578
ENSG00000221019	AC127526.1	11:3578572-3578719
ENSG00000221025	MIR1250	17:79106996-79107108
ENSG00000221027	AC068020.1	8:7996350-7996453
ENSG00000221028	MIR1231	1:201777739-201777830
ENSG00000221039	MIR1286	22:20236657-20236734
ENSG00000221042	CPEB3_ribozyme	10:93963986-93964063
ENSG00000221044	U3	17:42102389-42102591
ENSG00000221046	RNU6ATAC38P	20:44407337-44407462
ENSG00000221048	AC079781.1	7:97535284-97535431
ENSG00000221051	AC118344.1	19:40710019-40710106
ENSG00000221055	MIR1302-3	2:114340536-114340673
ENSG00000221060	SNORA11	14:70270920-70271048
ENSG00000221063	MIR1296	10:65132717-65132808
ENSG00000221066	SNORD111	16:70571908-70572001
ENSG00000221067	MIR1280	3:128081008-128081101
ENSG00000221079	AC083829.1	4:89415084-89415168
ENSG00000221083	SNORA77	1:8571854-8571978
ENSG00000221087	AC096546.1	2:73715706-73715787
ENSG00000221096	AC092757.1	15:59443177-59443267
ENSG00000221100	AL138706.1	13:37608814-37608929
ENSG00000221102	SNORA11B	14:91592769-91592897
ENSG00000221104	AC092865.1	12:8519282-8519427
ENSG00000221105	AL159997.1	9:135090138-135090262
